Course number ,Class name ,crn #,section,time ,professor,
Accounting,,,,,,
2400,Fundamentals Of Financial Accounting,12743,1,11:00 - 12:15 pm,"Van Wert,P",
,,12744,3,ARR,"Murray,J",
,,12745,E01,05:30 - 06:45 pm,"Seidel,A",
2410,Managerial Accounting,12746,1,11:00 - 12:15 pm,"Countryman,M",
,,12747,2,ARR,"Countryman,M",
,,12748,E01,05:30 - 06:45 pm,"Horne,J",
3401,Financial Accounting And Reporting I,12749,1,09:30 - 10:45 am,"Wen,H",
,,12750,2,11:00 - 12:15 pm,"Wen,H",
,,,,,,
,,,,,,
,,,,,,
,,12751,E01,05:30 - 06:45 pm,"Van Wert,P",
,,,,,,
,,,,,,
,,,,,,
3402,Financial Accounting And Reporting II,12754,1,12:30 - 01:45 pm,"Reynolds Moehrle,J",
,,,,,,
,,,,,,
,,,,,,
,,12756,E01,05:30 - 06:45 pm,"Reynolds Moehrle,J",
,,,,,,
,,,,,,
,,,,,,
3411,Cost Accounting,12757,1,02:00 - 03:15 pm,"McBride,D",
,,,,,,
,,,,,,
,,,,,,
,,12758,E01,05:30 - 06:45 pm,"McBride,D",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
3421,Accounting Information Systems,12759,1,10:30 - 01:15 pm,"Murray,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,12760,E01,06:55 - 09:35 pm,"Murray,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3441,Income Taxes,12761,1,09:30 - 10:45 am,"Geisler,G",
,,,,,,
,,,,,,
,,,,,,
,,12762,E01,05:30 - 06:45 pm,"Geisler,G",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3490,Internship In Accounting,12763,1,ARR,"Moehrle,S",
,,,,,,
,,,,,,
,,,,,,
,,12764,2,ARR,"Reynolds Moehrle,J",
,,,,,,
,,,,,,
,,,,,,
,,12765,3,ARR,"Geisler,G",
,,,,,,
,,,,,,
,,,,,,
,,12766,4,ARR,"Stuerke,P",
,,,,,,
,,,,,,
,,,,,,
,,12767,5,ARR,"Van Wert,P",
,,,,,,
,,,,,,
,,,,,,
,,12768,6,ARR,"Countryman,M",
,,,,,,
,,,,,,
,,,,,,
,,12769,7,ARR,"Murray,J",
,,,,,,
,,,,,,
,,,,,,
3499,Independent Study In Accounting,12770,1,ARR,"Moehrle,S",
,,,,,,
,,,,,,
,,,,,,
4401,Financial Accounting And Reporting,12771,E01,05:30 - 06:45 pm,"Stuerke,P",
,III,,,,,
,,,,,,
,,14674,1,02:00 - 03:15 pm,"Van Wert,P",
,,,,,,
,,,,,,
,,,,,,
,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
4402,Financial Accounting And Reporting IV,12772,E01,06:55 - 09:35 pm,"Moehrle,S",
,,,,,,
,,,,,,
4435,Auditing,14542,1,11:00 - 12:15 pm,"Horne,J",
,,,,,,
,,,,,,
,,12773,E01,06:55 - 08:10 pm,"Kozloski,T",
,,,,,,
,,,,,,
4441,Advanced Federal Income Tax:,12776,E01,06:55 - 09:35 pm,"Geisler,G",
,Business Taxation,,,,,
,,,,,,
5400,Financial And Managerial Accounting,12777,XC1,06:00 - 08:40 pm,"Countryman,M",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
